;18/07/2025;15/08/2025;19/09/2025;17/10/2025;21/11/2025;19/12/2025;16/01/2026;20/03/2026;18/06/2026;18/12/2026;17/06/2027;17/12/2027
1000;1.109990127319;0.611783688636;0.590570297139;0.641967564874;0.649926111636;0.701451608901;0.728316182533;0.735930460925;0.719069768164;0.61787421641;0.562886070098;0.522887462701
1500;1.089929770464;0.609241589249;0.584512147482;0.624039205545;0.622068444856;0.650314431400;0.658906689599;0.642193753004;0.607259169817;0.5231;0.476513302445;0.443850797318
1750;1.073399133289;0.606515697530;0.579108076553;0.611224465623;0.604297301469;0.622460451160;0.624495471565;0.601176831876;0.563251390029;0.48688;0.444273884401;0.414801866522
2000;1.051761873431;0.602327089947;0.571688045126;0.595806061961;0.584274091658;0.593702592533;0.590676494209;0.563273824882;0.524512718989;0.45541;0.416591305612;0.390057404028
2250;1.024592850752;0.596252794202;0.561961320400;0.577850760419;0.562273072714;0.564409475662;0.557631893343;0.528063126979;0.489887580275;0.42756;0.390057404028;0.368529327994
2500;0.991621990255;0.587846589508;0.549685343214;0.557494032210;0.538588405841;0.534887673361;0.525484005524;0.495207806442;0.458564606353;0.40256;0.370762328917;0.34948334636
2750;0.952754234505;0.576662680110;0.534683369549;0.534931859997;0.513523492629;0.505390620945;0.494311803784;0.464432397230;0.429950846119;0.37986;0.349483346360;0.332401346442
3000;0.908081113334;0.562285830969;0.516860318363;0.510410521537;0.487381477897;0.476126035137;0.464162398653;0.435507569523;0.403598849605;0.35906;0.332401346442;0.316904521266
3250;0.857882079314;0.544366768961;0.496215062060;0.484214964639;0.460457231431;0.447262351100;0.435059339831;0.408239525049;0.379161913144;0.33359;0.316904521266;0.302707716278
3500;0.802614966828;0.522660266207;0.472847561517;0.456656580428;0.433031003435;0.418934418232;0.407008739608;0.382462381875;0.356365304742;0.32194;0.302217002322;0.289590946486
3750;0.742896407152;0.497062000934;0.446959761253;0.428061240765;0.405363826373;0.391248578707;0.380003858883;0.358032531332;0.334987033731;0.3052;0.288140236302;0.277380887331
4000;0.679474580800;0.467639493333;0.418849977637;0.398758415707;0.377694632253;0.364287204780;0.354028579064;0.334824338291;0.314844564279;0.28943;0.274927321482;0.265938426283
4250;0.613198177498;0.434652651868;0.388901515629;0.369072064720;0.350238982288;0.338112754759;0.329060050962;0.312726777536;0.295785359428;0.27452;0.262455926830;0.255150039246
4500;0.544986937214;0.398561146453;0.357567277838;0.339313845428;0.323189271214;0.312771406453;0.305070727553;0.291640730164;0.277679962060;0.26035;0.250624082170;0.244921659216
4750;0.475811212867;0.360019115497;0.325353042629;0.309779054002;0.296716273481;0.288296333727;0.282029931687;0.271476743065;0.260416789634;0.24684;0.239345513215;0.235174213594
5000;0.406692294516;0.319862570187;0.292802830543;0.280745649746;0.270971944055;0.264710704264;0.259905071946;0.252153101366;0.2439;0.23389;0.228546149353;0.22584034491
5250;0.338746438932;0.279101348055;0.260490432206;0.252476772773;0.246093475199;0.242030496011;0.238662593822;0.233594088164;0.22804;0.22144;0.218161447451;0.21686168662
5500;0.273327451206;0.238936300965;0.229021948370;0.225227390523;0.222208748142;0.220267259983;0.218268735931;0.215728311659;0.21275;0.20943;0.208134288506;0.20818730946
5750;0.212417663018;0.200834570829;0.199055252048;0.199256157252;0.199443513229;0.199431006000;0.198690150408;0.198486965406;0.19797;0.19779;0.198413275605;0.1997717611561
6000;0.159683396851;0.166704640017;0.171342894613;0.174844234635;0.177930884111;0.179533469291;0.179894442739;0.181801844908;0.18363;0.18647;0.188951306604;0.191574000731
6250;0.122891604821;0.139159995768;0.146800518447;0.152323404376;0.157823994840;0.160592153404;0.161850690612;0.165602853179;0.16965;0.17543;0.179704322232;0.18356283366
6500;0.117878539758;0.122217294716;0.127285083031;0.132663540269;0.139555041411;0.142858264658;0.144686659273;0.149890656176;0.15597;0.1646;0.170630144336;0.175683224527
6750;0.148014064812;0.120395659644;0.116942734522;0.119222745487;0.124977588680;0.128081422524;0.129926888852;0.135724589944;0.14311;0.15409;0.161709774315;0.167922387792
7000;0.190442043078;0.132435490733;0.117706356797;0.114593064639;0.116149739638;0.118281865215;0.119520811343;0.124757753209;0.13216;0.1444;0.153137170239;0.160322775544
7250;0.230407714982;0.152326544186;0.127091861383;0.118211366334;0.114022996031;0.114399915952;0.114457276143;0.118029725341;0.12399;0.13603;0.145206793369;0.153050411943
7500;0.263344040896;0.174710028956;0.140745081636;0.127077799115;0.117899067470;0.115878726289;0.114381753443;0.115630575481;0.11899;0.12933;0.138177825696;0.146271660801
7750;0.288876459836;0.196552427396;0.155319411569;0.138076362716;0.125937811201;0.121117200132;0.117940972229;0.116787458188;0.11705;0.12446;0.132259390779;0.140141729142
8000;0.308046959496;0.216469248936;0.169015526235;0.149169052928;0.136187867625;0.128369070809;0.12356;0.120323458206;0.11761;0.12139;0.127597500649;0.134801654
8250;0.322200656687;0.233971742844;0.181088096639;0.159334864038;0.147183272505;0.136303817309;0.12998;0.12513;0.11997;0.11992;0.124264992063;0.130373308436
8500;0.332567517879;0.249020600443;0.191358858217;0.168187991058;0.158011235795;0.144098214125;0.1364;0.13037;0.12341;0.11976;0.122258054884;0.12695291116
8750;0.340141758795;0.261787408759;0.199918304293;0.175676606783;0.168173666194;0.151318299426;0.14238;0.13555;0.12739;0.1206;0.121502056350;0.124604231201
9000;0.345680845181;0.272529032620;0.206965543274;0.181903328453;0.177438368730;0.157778536364;0.14775;0.14037;0.13152;0.12214;0.121866500695;0.123353269347
10000;0.356608070576;0.300524802817;0.224352551687;0.197444982174;0.205125338142;0.176084494394;0.16279;0.15471;0.14589;0.13098;0.131106253088;0.128533461146
11000;0.360027255617;0.314172006696;0.232040917100;0.204373557639;0.221176363836;0.185732879928;0.17051;0.16253;0.15519;0.13917;0.145609558897;0.145389349905
12000;0.361202445835;0.321023378745;0.235568266166;0.207556824102;0.230340433468;0.190770140286;0.17443;0.16666;0.16069;0.14505;0.159889280797;0.167457148233
